Max Tracks,Buffer Size,Sample Rate,Bit Depth
58 ,1024 ,96000 ,32
55 ,512 ,96000 ,32
52 ,256 ,96000 ,32
45 ,128 ,96000 ,32
36 ,64 ,96000 ,32
59 ,1024 ,96000 ,24
56 ,512 ,96000 ,24
53 ,256 ,96000 ,24
47 ,128 ,96000 ,24
36 ,64 ,96000 ,24
59 ,1024 ,96000 ,16
56 ,512 ,96000 ,16
54 ,256 ,96000 ,16
48 ,128 ,96000 ,16
36 ,64 ,96000 ,16
61 ,1024 ,48000 ,32
59 ,512 ,48000 ,32
56 ,256 ,48000 ,32
52 ,128 ,48000 ,32
46 ,64 ,48000 ,32
61 ,1024 ,48000 ,24
59 ,512 ,48000 ,24
56 ,256 ,48000 ,24
52 ,128 ,48000 ,24
46 ,64 ,48000 ,24
63 ,1024 ,48000 ,16
59 ,512 ,48000 ,16
56 ,256 ,48000 ,16
54 ,128 ,48000 ,16
48 ,64 ,48000 ,16
61 ,1024 ,44100 ,32
59 ,512 ,44100 ,32
53 ,256 ,44100 ,32
52 ,128 ,44100 ,32
46 ,64 ,44100 ,32
61 ,1024 ,44100 ,24
59 ,512 ,44100 ,24
57 ,256 ,44100 ,24
53 ,128 ,44100 ,24
46 ,64 ,44100 ,24
62 ,1024 ,44100 ,16
59 ,512 ,44100 ,16
56 ,256 ,44100 ,16
53 ,128 ,44100 ,16
45 ,64 ,44100 ,16
